Source,Target,Weight,Season
譚公,全冠清,1,1
趙錢孫,智光大師,6,1
丐幫,智光大師,2,1
單正,智光大師,3,1
智光大師,喬峰,14,1
丐幫,汪劍通,8,1
汪劍通,喬峰,5,1
單正,單季山,2,1
單正,單仲山,2,1
單叔山,單季山,1,1
單叔山,喬峰,2,1
單叔山,單仲山,1,1
單季山,喬峰,3,1
單季山,單仲山,1,1
喬峰,單仲山,3,1
單小山,單伯山,1,1
單小山,單季山,1,1
單小山,喬峰,2,1
單伯山,單季山,1,1
單季山,智光大師,1,1
丐幫,玄苦,6,1
喬峰,玄苦,31,1
譚婆,智光大師,2,1
譚公,智光大師,2,1
白世鏡,阿朱,12,1
汪劍通,馬大元,1,1
方舵主,蔣舵主,1,1
白世鏡,赫連鐵樹,2,1
段延慶,丐幫,5,1
丐幫,葉二娘,2,1
段延慶,赫連鐵樹,4,1
雲中鶴,丐幫,5,1
雲中鶴,王語嫣,9,1
赫連鐵樹,雲中鶴,3,1
赫連鐵樹,努兒海,4,1
赫連鐵樹,王語嫣,1,1
雲中鶴,努兒海,2,1
努兒海,王語嫣,3,1
努兒海,丐幫,2,1
努兒海,段譽,5,1
王語嫣,葉二娘,3,1
金二哥,段譽,1,1
喬峰,玄慈,19,1
赫連鐵樹,葉二娘,1,1
赫連鐵樹,段譽,8,1
努兒海,葉二娘,1,1
赫連鐵樹,喬峰,3,1
慕容復,赫連鐵樹,3,1
赫連鐵樹,阿朱,4,1
努兒海,阿朱,2,1
努兒海,宋長老,1,1
阿朱,宋長老,1,1
慕容復,馬大元,3,1
馬大元,全冠清,2,1
玄悲,喬峰,3,1
玄苦,玄慈,10,1
丐幫,玄慈,19,1
青松,喬峰,1,1
青松,玄苦,1,1
青松,玄慈,2,1
玄難,喬峰,27,1
玄寂,玄難,24,1
玄寂,玄慈,21,1
玄難,玄慈,15,1
玄寂,喬峰,20,1
慕容復,玄慈,3,1
阿朱,玄慈,9,1
阿朱,玄苦,6,1
向望海,祁老六,1,1
向望海,喬峰,12,1
祁老六,喬峰,1,1
丐幫,鮑千靈,3,1
鮑千靈,喬峰,14,1
向望海,鮑千靈,10,1
丐幫,向望海,2,1
向望海,玄苦,1,1
鮑千靈,玄苦,1,1
玄寂,向望海,1,1
玄寂,鮑千靈,1,1
玄難,向望海,1,1
玄難,鮑千靈,1,1
阿朱,鮑千靈,1,1
游驥,游駒,9,1
游驥,薛慕華,1,1
游駒,薛慕華,1,1
向望海,游駒,1,1
游駒,鮑千靈,2,1
游驥,鮑千靈,1,1
游驥,喬峰,10,1
游駒,喬峰,6,1
單正,玄寂,1,1
單正,玄難,1,1
玄寂,趙錢孫,2,1
玄寂,譚婆,2,1
玄寂,譚公,2,1
玄難,趙錢孫,2,1
玄難,譚婆,2,1
玄難,譚公,2,1
游驥,單正,1,1
游驥,丐幫,1,1
游驥,向望海,1,1
單正,向望海,1,1
譚公,玄慈,1,1
玄寂,玄苦,4,1
玄寂,阿朱,5,1
阿朱,玄難,4,1
游驥,玄寂,1,1
游驥,阿朱,1,1
游驥,玄難,1,1
玄寂,游駒,1,1
阿朱,游駒,1,1
玄難,游駒,1,1
段延慶,譚青,2,1
段延慶,譚公,1,1
譚青,譚公,1,1
段延慶,喬峰,3,1
赫連鐵樹,丐幫,3,1
雲中鶴,譚青,5,1
雲中鶴,喬峰,6,1
譚青,喬峰,4,1
丐幫,譚青,2,1
譚青,宋長老,1,1
游驥,游坦之,3,1
丐幫,單叔山,1,1
單叔山,趙錢孫,1,1
游驥,單仲山,1,1
單伯山,阿朱,1,1
玄難,玄苦,7,1
阿朱,智光大師,5,1
趙錢孫,玄苦,1,1
譚婆,玄苦,1,1
阿朱,蕭峰,170,1
蕭峰,喬峰,15,1
蕭遠山,智光大師,1,1
蕭遠山,蕭峰,21,1
智光大師,蕭峰,6,1
丐幫,蕭峰,54,1
阿朱,馬大元,5,1
馬大元,蕭峰,8,1
白世鏡,馬大元,9,1
白世鏡,蕭峰,18,1
阿朱,全冠清,3,1
全冠清,蕭峰,9,1
慕容復,譚婆,1,1
慕容復,譚公,1,1
段正淳,蕭峰,75,1
阿朱,段正淳,28,1
白世鏡,段正淳,12,1
段譽,蕭峰,84,1
玄寂,蕭峰,3,1
玄難,蕭峰,2,1
段延慶,蕭峰,13,1
蕭峰,阿紫,282,1
阿朱,阿紫,51,1
木婉清,阮星竹,7,1
木婉清,阿紫,14,1
甘寶寶,阮星竹,10,1
甘寶寶,阿紫,1,1
阮星竹,秦紅棉,33,1
阮星竹,鍾萬仇,1,1
阮星竹,段正淳,41,1
阮星竹,阿紫,31,1
秦紅棉,阿紫,9,1
鍾萬仇,阿紫,2,1
段正淳,阿紫,28,1
范驊,阮星竹,7,1
范驊,玄悲,3,1
范驊,段正淳,18,1
阮星竹,玄悲,1,1
阮星竹,華赫艮,3,1
阮星竹,巴天石,4,1
玄悲,華赫艮,2,1
褚萬里,段延慶,12,1
褚萬里,范驊,7,1
褚萬里,華赫艮,4,1
褚萬里,蕭峰,5,1
褚萬里,阿紫,9,1
段延慶,范驊,14,1
段延慶,朱丹臣,11,1
段延慶,傅思歸,4,1
段延慶,巴天石,6,1
段延慶,阿紫,3,1
段延慶,古篤誠,3,1
范驊,朱丹臣,11,1
范驊,傅思歸,3,1
范驊,蕭峰,9,1
范驊,阿紫,7,1
范驊,古篤誠,1,1
朱丹臣,華赫艮,7,1
朱丹臣,蕭峰,12,1
朱丹臣,阿紫,11,1
傅思歸,華赫艮,2,1
傅思歸,蕭峰,3,1
傅思歸,阿紫,3,1
華赫艮,蕭峰,5,1
華赫艮,阿紫,4,1
華赫艮,古篤誠,1,1
巴天石,蕭峰,21,1
巴天石,阿紫,8,1
蕭峰,古篤誠,1,1
阿紫,古篤誠,3,1
雲中鶴,蕭峰,5,1
葉二娘,蕭峰,4,1
岳老三,黃眉僧,1,1
岳老三,蕭峰,1,1
黃眉僧,蕭峰,1,1
阿朱,葉二娘,1,1
雲中鶴,范驊,3,1
雲中鶴,阿紫,1,1
范驊,葉二娘,3,1
褚萬里,阮星竹,1,1
段延慶,阮星竹,7,1
葉二娘,華赫艮,2,1
褚萬里,段正明,1,1
范驊,段正明,1,1
華赫艮,段正明,1,1
阿紫,段正明,1,1
段延慶,段正明,7,1
譚青,蕭峰,2,1
傅思歸,喬峰,1,1
譚青,段正淳,1,1
阮星竹,朱丹臣,5,1
段正淳,玄苦,1,1
蕭峰,玄苦,7,1
阮星竹,蕭峰,26,1
范驊,阿朱,2,1
阿朱,華赫艮,1,1
阮星竹,阿朱,13,1
蕭峰,玄慈,6,1
丐幫,段正淳,8,1
阮星竹,智光大師,1,1
段正淳,智光大師,1,1
智光大師,阿紫,1,1
木婉清,蕭峰,12,1
阿朱,秦紅棉,3,1
秦紅棉,蕭峰,12,1
阮星竹,康敏,1,1
秦紅棉,康敏,1,1
段正淳,馬大元,5,1
馬大元,阿紫,1,1
白世鏡,阮星竹,1,1
白世鏡,阿紫,1,1
單正,馬大元,1,1
馬大元,譚公,1,1
馬大元,智光大師,1,1
阿紫,喬峰,8,1
丁春秋,蕭峰,19,1
出塵子,蕭峰,7,1
摘星子,阿紫,32,1
雲中鶴,摘星子,1,1
摘星子,巴天石,1,1
摘星子,蕭峰,14,1
摘星子,喬峰,7,1
摘星子,丐幫,5,1
丐幫,阿紫,38,1
丐幫,出塵子,1,1
出塵子,喬峰,1,1
摘星子,出塵子,7,1
出塵子,阿紫,1,1
摘星子,阿朱,1,1
譚公,蕭峰,2,1
譚公,阿紫,1,1
王通治,阿紫,2,1
王通治,蕭峰,2,1
完顏阿骨打,蕭峰,5,1
完顏阿骨打,和哩布,1,1
完顏阿骨打,許卓誠,1,1
和哩布,蕭峰,3,1
和哩布,許卓誠,1,1
蕭峰,許卓誠,2,1
阿紫,許卓誠,1,1
蕭峰,室里,15,1
和哩布,室里,1,1
